BMI,,,,,,,,,,
Males,,,,,,Females,,,,
Age,C3,C25,C50,C75,C97,C3,C25,C50,C75,C97
0,9.75,11.83,12.55,13.31,16.03,8.9,11.08,12.49,14.07,17.35
0.25,10.32,12.45,13.21,14.01,16.83,9.76,11.84,13.2,14.71,17.89
0.5,10.85,13.01,13.81,14.65,17.56,10.57,12.56,13.85,15.3,18.35
0.75,11.3,13.49,14.31,15.19,18.18,11.31,13.2,14.43,15.81,18.73
1,11.67,13.87,14.72,15.63,18.67,11.96,13.75,14.91,16.22,19
1.25,11.97,14.16,15.03,15.97,19.04,12.51,14.19,15.3,16.53,19.16
1.5,12.2,14.38,15.26,16.22,19.32,12.94,14.54,15.58,16.74,19.22
1.75,12.37,14.52,15.42,16.4,19.51,13.27,14.77,15.75,16.85,19.19
2,12.49,14.62,15.53,16.52,19.64,13.48,14.9,15.82,16.85,19.06
2.25,12.57,14.68,15.59,16.59,19.71,13.6,14.94,15.81,16.79,18.87
2.5,12.63,14.7,15.62,16.63,19.75,13.65,14.92,15.74,16.67,18.64
2.75,12.67,14.7,15.63,16.64,19.76,13.65,14.86,15.64,16.52,18.4
3,12.69,14.69,15.62,16.65,19.76,13.61,14.77,15.52,16.36,18.17
3.25,12.7,14.67,15.6,16.63,19.74,13.56,14.67,15.39,16.21,17.96
3.5,12.69,14.63,15.57,16.6,19.71,13.5,14.58,15.28,16.07,17.79
3.75,12.67,14.59,15.52,16.56,19.66,13.45,14.51,15.19,15.97,17.66
4,12.65,14.53,15.47,16.51,19.61,13.42,14.45,15.13,15.91,17.59
4.25,12.62,14.47,15.41,16.46,19.55,13.4,14.42,15.1,15.87,17.56
4.5,12.58,14.4,15.34,16.4,19.49,13.38,14.41,15.09,15.86,17.56
4.75,12.53,14.34,15.27,16.34,19.43,13.38,14.41,15.09,15.87,17.6
5,12.49,14.27,15.21,16.27,19.37,13.38,14.41,15.1,15.89,17.65
5.25,12.44,14.2,15.14,16.21,19.31,13.37,14.41,15.1,15.9,17.71
5.5,12.4,14.13,15.08,16.15,19.26,13.35,14.4,15.1,15.91,17.75
5.75,12.36,14.08,15.02,16.1,19.21,13.31,14.37,15.08,15.9,17.78
6,12.33,14.03,14.97,16.06,19.18,13.27,14.33,15.04,15.88,17.8
6.25,12.3,13.99,14.94,16.04,19.17,13.21,14.28,15,15.85,17.81
6.5,12.29,13.96,14.92,16.03,19.18,13.15,14.23,14.96,15.82,17.83
6.75,12.29,13.95,14.91,16.03,19.21,13.1,14.19,14.93,15.8,17.85
7,12.29,13.96,14.92,16.05,19.25,13.06,14.16,14.92,15.81,17.9
7.25,12.32,13.98,14.95,16.09,19.32,13.05,14.17,14.94,15.84,18
7.5,12.35,14.01,15,16.15,19.42,13.07,14.21,14.99,15.92,18.14
7.75,12.41,14.07,15.07,16.24,19.54,13.11,14.28,15.08,16.04,18.33
8,12.49,14.16,15.17,16.37,19.72,13.18,14.37,15.2,16.19,18.57
8.25,12.6,14.29,15.31,16.53,19.94,13.26,14.48,15.34,16.36,18.84
8.5,12.74,14.45,15.49,16.74,20.2,13.34,14.61,15.49,16.56,19.15
8.75,12.9,14.63,15.7,16.97,20.51,13.43,14.74,15.65,16.76,19.47
9,13.07,14.83,15.92,17.22,20.84,13.51,14.86,15.81,16.96,19.81
9.25,13.25,15.04,16.16,17.49,21.18,13.56,14.96,15.95,17.15,20.15
9.5,13.43,15.25,16.39,17.75,21.52,13.6,15.05,16.08,17.33,20.48
9.75,13.6,15.45,16.62,18.01,21.86,13.64,15.13,16.2,17.5,20.81
10,13.76,15.64,16.83,18.25,22.17,13.66,15.21,16.32,17.68,21.14
10.25,13.9,15.8,17.02,18.47,22.46,13.69,15.29,16.44,17.85,21.47
10.5,14.02,15.95,17.18,18.67,22.72,13.72,15.37,16.56,18.02,21.78
10.75,14.12,16.08,17.33,18.84,22.96,13.77,15.47,16.69,18.2,22.09
11,14.21,16.19,17.46,19,23.17,13.82,15.57,16.83,18.39,22.38
11.25,14.28,16.28,17.58,19.14,23.36,13.89,15.69,16.99,18.58,22.66
11.5,14.34,16.36,17.67,19.26,23.53,13.98,15.83,17.15,18.78,22.92
11.75,14.39,16.42,17.76,19.36,23.68,14.08,15.98,17.33,18.98,23.15
12,14.42,16.48,17.83,19.45,23.82,14.2,16.13,17.51,19.18,23.35
12.25,14.45,16.52,17.89,19.54,23.94,14.33,16.3,17.69,19.38,23.53
12.5,14.47,16.56,17.95,19.62,24.06,14.47,16.48,17.89,19.58,23.68
12.75,14.5,16.61,18.01,19.7,24.19,14.62,16.66,18.08,19.78,23.81
13,14.52,16.65,18.07,19.78,24.32,14.78,16.85,18.27,19.97,23.92
13.25,14.56,16.71,18.15,19.89,24.47,14.95,17.04,18.47,20.15,24.01
13.5,14.61,16.79,18.25,20.01,24.65,15.13,17.24,18.66,20.33,24.08
13.75,14.69,16.9,18.38,20.17,24.86,15.31,17.43,18.85,20.49,24.13
14,14.78,17.02,18.53,20.35,25.12,15.5,17.63,19.04,20.65,24.16
14.25,14.89,17.18,18.71,20.57,25.41,15.7,17.83,19.22,20.79,24.17
14.5,15.02,17.35,18.92,20.81,25.73,15.9,18.02,19.39,20.93,24.17
14.75,15.17,17.54,19.14,21.07,26.07,16.1,18.21,19.55,21.04,24.14
15,15.32,17.74,19.37,21.35,26.44,16.31,18.39,19.71,21.15,24.1
15.25,15.48,17.95,19.62,21.64,26.82,16.52,18.57,19.86,21.25,24.06
15.5,15.63,18.16,19.87,21.93,27.2,16.74,18.76,20,21.35,24.02
15.75,15.79,18.36,20.11,22.22,27.58,16.96,18.94,20.15,21.44,23.98
16,15.94,18.57,20.35,22.5,27.95,17.18,19.12,20.29,21.54,23.94
16.25,16.07,18.76,20.58,22.78,28.31,17.4,19.29,20.43,21.62,23.9
16.5,16.2,18.94,20.8,23.04,28.66,17.6,19.45,20.55,21.69,23.86
16.75,16.32,19.11,21.01,23.29,28.99,17.8,19.6,20.66,21.75,23.81
17,16.42,19.27,21.2,23.52,29.3,17.99,19.74,20.75,21.8,23.76
17.25,16.52,19.42,21.39,23.76,29.61,18.17,19.86,20.84,21.85,23.7
17.5,16.62,19.57,21.58,23.99,29.92,18.34,19.98,20.93,21.89,23.65
17.75,16.71,19.72,21.77,24.22,30.23,18.5,20.09,21,21.92,23.59
18,16.8,19.87,21.95,24.45,30.53,18.66,20.2,21.07,21.95,23.54
